feature,f_score,p_value
right_early_mean,26.427757548248767,3.632671791657468e-12
left_early_mean,26.073740810224713,5.16385147859088e-12
left_peak_idx,20.7894185741271,9.876291460768304e-10
left_peak_time_ratio,20.789418574125694,9.876291460782128e-10
right_peak_time_ratio,20.43775846075888,1.401318562775377e-09
right_peak_idx,20.43775846075391,1.4013185627820829e-09
left_std,3.564407597744426,0.028358616242269548
left_range,3.3497479168591218,0.03514230541151269
right_skew,3.282761458401265,0.03757491951943045
left_iqr,3.2797096708153894,0.037689671305193385
left_q75,3.2081683597538335,0.04048249141304032
right_post_peak_slope,2.9953272071037844,0.0500762185866464
left_diff_std,2.6622883615562727,0.06985001423297857
bilateral_diff_std,2.5985150589971098,0.07444657742994487
bilateral_diff_mean,2.4946472770729,0.08258959040609
left_max,2.481564450159516,0.08367651584698034
left_diff_max,2.390756047395503,0.09162568451861439
left_mean,2.2591428848429973,0.10450642263231862
left_early_to_late,2.2544074071165183,0.10500220440531823
left_late_mean,2.2528526389226524,0.10516549362961858
left_mid_mean,2.249963625254916,0.10546958649844707
left_autocorr,2.0226010610648832,0.13237835332594858
right_early_to_late,1.9818123768865719,0.13788671800592875
right_late_mean,1.9812867506737606,0.1379591781146873
left_skew,1.9784477826974123,0.13835120245742902
right_mean,1.975125227545485,0.13881141921211945
right_diff_mean,1.8803477575574608,0.15260429210530446
right_max,1.8194328433985563,0.16218458024538707
left_diff2_std,1.8112349810418693,0.16351900526062446
right_std,1.7890182082182031,0.16719085893063088
right_range,1.7547365808188917,0.1730191901274151
right_q75,1.6196227292269052,0.19803812075647043
right_diff_std,1.615200038958225,0.19891556701971486
right_diff_max,1.5352628003650848,0.2154623744701371
right_iqr,1.5107677963556114,0.22080324306891824
right_median,1.4677492247404764,0.23050547229974827
right_diff2_std,1.4111619913027116,0.24392029960190326
right_cv,1.4013437797599135,0.24632610806743155
left_diff_mean,1.3928225590736656,0.24843333837744444
right_mid_mean,1.377561071150703,0.25225255081293996
right_min,1.3223391295498406,0.26656926846934414
left_post_peak_slope,1.2753199623074893,0.27939821882935106
left_min,1.2238794553988055,0.29414197348416793
bilateral_corr,1.2176421951345866,0.2959817851645786
right_autocorr,0.982590511650432,0.37438516941773936
left_median,0.9103936715963973,0.40240737069965415
right_q25,0.8023950957608157,0.44829004802525274
left_q25,0.4010439761475058,0.6696340411329629
left_kurtosis,0.37005757659823335,0.6907063547293377
right_kurtosis,0.28493174199271043,0.7520731998692928
left_cv,0.2352315267090765,0.7903932856238862
